Subj_idx,Block,Trial_in_block,Trial,Stimulus,RT_start,Response,Confidence,RT_conf,ErrorDirection,RT_error
1,1,1,1,1.5,1.4217,1.3226,2,5.2847,0,0.99854
1,1,2,2,1.5,1.2055,2.2855,2,1.4792,1,1.1665
1,1,3,3,1.5,1.3408,1.3363,2,2.2452,0,0.47529
1,1,4,4,1.5,0.87049,1.6974,2,2.4624,0,1.1259
1,1,5,5,1.5,1.3661,1.6577,3,0.9865,1,2.8081
1,1,6,6,1.5,0.82046,2.4473,2,5.8529,1,1.172
1,1,7,7,1.5,1.0332,2.6052,2,0.73047,1,1.054
1,1,8,8,1.5,0.97284,1.7494,2,1.202,1,0.1939
1,1,9,9,1.5,4.3669,1.5249,1,2.1739,0,0.75909
1,1,10,10,1.5,0.87669,1.9145,3,1.063,0,1.6147
1,1,11,11,1.5,1.008,1.4769,2,0.96365,1,2.9656
1,1,12,12,1.5,0.66128,2.0798,2,1.9529,1,0.21889
1,1,13,13,1.5,0.66661,1.681,2,1.8892,0,0.13253
1,1,14,14,1.5,0.83129,1.745,3,2.5649,0,1.2533
1,1,15,15,1.5,0.7338,1.7693,2,0.74346,1,0.21605
1,1,16,16,1.5,1.1011,2.1807,1,4.0029,1,0.25328
1,1,17,17,1.5,0.57046,2.3849,1,1.5165,1,0.1655
1,1,18,18,1.5,0.31568,1.6565,2,0.78383,1,0.15751
1,1,19,19,1.5,0.56712,2.0943,3,1.3755,0,1.5996
1,1,20,20,1.5,1.5877,2.9833,2,2.3615,1,0.82578
1,1,21,21,1.5,1.3432,1.8393,3,2.4097,0,0.96072
1,1,22,22,1.5,0.31227,1.5073,2,0.94886,0,0.82871
1,1,23,23,1.5,1.229,1.9675,3,0.93997,0,1.95
1,1,24,24,1.5,0.93646,2.0218,2,0.71977,1,0.15983
1,1,25,25,1.5,0.62652,1.8787,2,0.86108,1,0.19145
1,1,26,26,1.5,0.60027,1.8567,3,0.98497,1,0.81886
1,1,27,27,1.5,0.61899,1.9343,3,0.75411,1,1.2354
1,1,28,28,1.5,0.91006,1.5653,2,1.7019,0,0.51754
1,1,29,29,1.5,0.80659,1.3498,3,1.0543,0,0.70887
1,1,30,30,1.5,0.93583,1.9213,3,0.79429,0,1.0542
1,1,31,31,1.5,1.7837,2.1084,2,1.2094,1,1.577
1,1,32,32,1.5,0.5617,2.5298,2,0.93827,1,1.0743
1,1,33,33,1.5,1.5771,2.389,3,0.84504,1,0.71348
1,1,34,34,1.5,0.25903,1.6662,3,0.65266,0,0.90908
1,1,35,35,1.5,0.87295,1.9875,3,0.9316,1,1.0655
1,1,36,36,1.5,1.522,2.0345,2,1.0526,1,1.1589
1,1,37,37,1.5,0.88166,1.1799,2,1.3514,0,0.27957
1,1,38,38,1.5,0.67312,2.9885,2,1.8285,1,0.25169
1,1,39,39,1.5,1.445,1.527,1,1.7243,0,0.25959
1,1,40,40,1.5,0.46098,1.7683,2,0.96751,0,0.16794
1,1,41,41,1.5,0.7412,2.077,2,2.0491,1,0.12767
1,1,42,42,1.5,0.56574,1.806,3,2.7465,1,0.71391
1,1,43,43,1.5,0.5358,1.8459,2,0.83665,0,0.98388
1,1,44,44,1.5,0.38819,1.2867,2,0.94608,0,0.85033
1,1,45,45,1.5,0.6205,2.0104,3,1.1007,0,0.26852
1,1,46,46,1.5,0.77188,1.8863,2,1.9436,1,1.2873
1,1,47,47,1.5,0.54811,2.0179,2,0.97781,1,1.0429
1,1,48,48,1.5,1.0896,1.8238,2,2.4852,0,1.5284
1,1,49,49,1.5,0.59191,1.7645,2,0.78781,0,0.81072
1,1,50,50,1.5,0.37778,1.6424,2,0.9882,0,0.7352
1,1,51,51,1.5,1.0466,2.0071,1,2.0715,1,0.96998
1,1,52,52,1.5,0.49539,2.857,2,1.7567,1,0.38436
1,1,53,53,1.5,0.59805,2.0784,2,1.0893,1,0.11068
1,1,54,54,1.5,0.58781,2.4849,2,0.7027,1,0.18366
1,1,55,55,1.5,0.54604,2.2814,2,1.7123,0,0.12816
1,1,56,56,1.5,0.81071,1.5039,1,1.4703,0,0.14488
1,1,57,57,1.5,0.58432,2.4692,2,1.0546,1,0.42093
1,1,58,58,1.5,0.79052,1.6129,3,1.0869,1,2.2209
1,1,59,59,1.5,0.7885,2.4609,2,1.8496,1,0.47688
1,1,60,60,1.5,0.76015,1.827,2,2.8765,1,0.62247
2,1,1,1,1.5,0.80054,1.118,3,1.5065,0,1.349
2,1,2,2,1.5,1.5892,1.1849,3,1.8433,0,2.1886
2,1,3,3,1.5,1.2234,1.3609,3,1.2858,0,1.6318
2,1,4,4,1.5,0.74848,1.1055,2,3.1472,0,0.97527
2,1,5,5,1.5,2.6342,1.6064,3,1.759,0,2.1999
2,1,6,6,1.5,1.0983,1.9947,3,1.9385,1,1.12
2,1,7,7,1.5,0.61477,1.1535,2,1.096,0,1.2884
2,1,8,8,1.5,0.45729,1.1257,3,0.98999,0,1.7372
2,1,9,9,1.5,0.49243,1.0281,3,1.4748,0,0.73703
2,1,10,10,1.5,0.54545,1.4069,3,1.4356,0,1.2058
2,1,11,11,1.5,0.65005,1.8441,3,1.4015,1,0.86863
2,1,12,12,1.5,1.0939,1.7033,2,1.9561,0,1.8218
2,1,13,13,1.5,0.7764,1.64,3,3.1112,0,1.0731
2,1,14,14,1.5,0.77905,1.5061,1,1.0965,0,1.1767
2,1,15,15,1.5,0.768,1.3815,3,1.1772,1,1.1401
2,1,16,16,1.5,0.90587,1.2868,2,1.2197,0,2.6956
2,1,17,17,1.5,0.36744,0.9339,1,1.3562,0,1.8725
2,1,18,18,1.5,0.77196,1.6604,3,1.6017,0,1.6061
2,1,19,19,1.5,0.86676,1.5937,3,1.1637,1,0.8895
2,1,20,20,1.5,0.67194,1.8369,2,1.4934,0,1.1898
2,1,21,21,1.5,0.67516,1.6771,3,3.1508,0,2.2415
2,1,22,22,1.5,1.0446,1.8162,3,1.7278,0,0.73937
2,1,23,23,1.5,2.5125,1.5377,3,1.0711,0,1.0974
2,1,24,24,1.5,0.55489,1.3365,3,1.0321,1,0.84176
2,1,25,25,1.5,0.89883,1.4922,3,1.0992,0,1.0042
2,1,26,26,1.5,0.81229,2.3925,2,1.0224,1,1.2736
2,1,27,27,1.5,1.0201,1.6591,3,2.6868,1,0.56599
2,1,28,28,1.5,0.73236,1.7049,2,1.333,0,1.7926
2,1,29,29,1.5,1.0047,1.5099,2,1.326,1,1.1892
2,1,30,30,1.5,1.3001,2.1549,2,1.082,1,0.66647
2,1,31,31,1.5,1.4715,2.109,2,1.2989,0,1.3283
2,1,32,32,1.5,0.88025,1.3944,2,1.162,0,2.3044
2,1,33,33,1.5,0.72458,1.8142,3,0.98722,1,0.95971
2,1,34,34,1.5,0.30057,1.571,3,1.7082,0,0.94805
2,1,35,35,1.5,1.1965,1.3553,3,1.3094,0,1.6765
2,1,36,36,1.5,0.74576,1.7439,1,1.5974,0,4.4508
2,1,37,37,1.5,0.30965,1.3556,1,2.072,0,1.182
2,1,38,38,1.5,0.33894,1.4633,3,1.05,0,1.1799
2,1,39,39,1.5,1.0291,1.6305,3,1.0382,1,1.8101
2,1,40,40,1.5,0.68579,1.4716,3,1.2093,0,0.83775
2,1,41,41,1.5,0.94249,1.452,2,0.76921,1,1.5458
2,1,42,42,1.5,0.85404,1.4231,2,1.1232,0,1.824
2,1,43,43,1.5,1.4547,1.9838,3,1.0023,0,3.0709
2,1,44,44,1.5,0.85914,1.8646,2,1.4509,1,0.66674
2,1,45,45,1.5,0.73305,1.7564,2,1.0337,1,0.78063
2,1,46,46,1.5,0.41391,1.4163,3,1.1292,0,1.8006
2,1,47,47,1.5,0.77362,1.7255,3,3.2862,0,1.6649
2,1,48,48,1.5,0.29973,1.7946,3,5.0386,1,2.3532
2,1,49,49,1.5,0.32829,1.844,2,4.5388,0,2.8621
2,1,50,50,1.5,0.27322,1.9261,3,1.9491,1,2.3147
2,1,51,51,1.5,0.34723,1.5301,3,1.2004,1,0.80447
2,1,52,52,1.5,0.26728,1.77,2,1.3075,1,1.9488
2,1,53,53,1.5,0.49673,1.12,1,2.0593,1,1.4981
2,1,54,54,1.5,0.57449,2.0899,2,1.1456,0,1.2555
2,1,55,55,1.5,0.39584,1.795,2,2.227,0,1.3112
2,1,56,56,1.5,0.46262,1.5697,3,1.6932,0,1.3515
2,1,57,57,1.5,0.27873,1.7315,3,1.6019,0,2.0439
2,1,58,58,1.5,0.29707,1.6914,3,1.5503,1,0.72736
2,1,59,59,1.5,0.31268,1.8451,3,1.2977,1,0.98962
2,1,60,60,1.5,0.28949,1.8874,3,1.1828,1,1.8787
3,1,1,1,1.5,3.5439,1.6086,3,1.9995,0,3.1519
3,1,2,2,1.5,2.3348,1.9816,2,2.2255,1,1.2107
3,1,3,3,1.5,2.7236,2.207,3,1.7454,1,2.3642
3,1,4,4,1.5,4.1714,2.1417,3,1.8354,1,1.9546
3,1,5,5,1.5,3.055,1.9791,2,1.7617,0,1.3252
3,1,6,6,1.5,1.7479,1.9792,2,2.753,0,0.70384
3,1,7,7,1.5,1.7099,1.4881,3,2.7964,0,1.4883
3,1,8,8,1.5,0.33999,1.3516,1,2.131,0,2.2161
3,1,9,9,1.5,1.338,1.8223,2,2.1452,1,2.9895
3,1,10,10,1.5,1.4186,1.7432,3,2.1752,0,1.5232
3,1,11,11,1.5,1.21,2.0774,3,1.8508,1,1.0405
3,1,12,12,1.5,0.87188,1.9872,3,1.3938,0,1.1511
3,1,13,13,1.5,0.57043,1.6228,2,1.0605,1,0.86442
3,1,14,14,1.5,0.97786,2.0158,2,2.7145,0,2.1138
3,1,15,15,1.5,0.70612,1.6248,2,1.5493,0,0.80291
3,1,16,16,1.5,0.69258,1.9407,2,1.4343,1,0.94307
3,1,17,17,1.5,0.72911,1.969,3,1.4919,0,2.0627
3,1,18,18,1.5,0.87178,1.6101,2,1.2645,0,2.2388
3,1,19,19,1.5,2.4714,1.8176,1,1.5289,1,1.6154
3,1,20,20,1.5,0.59745,1.7949,2,1.2149,1,2.3662
3,1,21,21,1.5,1.1305,1.8441,2,1.8132,0,1.1421
3,1,22,22,1.5,0.93452,2.195,3,1.4128,1,2.9056
3,1,23,23,1.5,0.90664,1.8624,2,1.3267,1,0.86417
3,1,24,24,1.5,0.77422,1.739,2,1.2463,1,1.089
3,1,25,25,1.5,1.1808,2.0821,1,1.4379,0,1.196
3,1,26,26,1.5,0.62938,1.6572,3,2.1724,1,1.3828
3,1,27,27,1.5,0.62865,1.5929,2,1.2384,0,1.0588
3,1,28,28,1.5,0.73397,1.495,1,1.761,0,2.214
3,1,29,29,1.5,0.89593,1.9056,1,1.3592,1,0.86239
3,1,30,30,1.5,1.25,1.3663,2,1.1913,1,1.6516
3,1,31,31,1.5,1.2282,1.4275,1,1.491,0,1.1489
3,1,32,32,1.5,1.0184,1.4068,1,1.3353,0,1.0824
3,1,33,33,1.5,2.2062,1.2945,2,0.87888,1,1.2137
3,1,34,34,1.5,0.77393,1.8126,1,1.3536,1,1.5832
3,1,35,35,1.5,0.82264,1.4609,2,1.0118,1,1.5409
3,1,36,36,1.5,0.84809,1.8079,2,1.1731,1,0.67438
3,1,37,37,1.5,2.5664,1.4169,2,2.1293,0,0.72711
3,1,38,38,1.5,1.6387,1.6838,3,1.8786,0,1.614
3,1,39,39,1.5,2.6021,1.7692,2,1.2431,1,1.0384
3,1,40,40,1.5,1.3246,1.826,2,1.0624,0,1.113
3,1,41,41,1.5,1.7022,2.0816,2,2.1492,1,1.6768
3,1,42,42,1.5,1.9501,4.681,1,1.534,1,1.2175
3,1,43,43,1.5,1.1228,1.3987,2,1.078,0,1.5794
3,1,44,44,1.5,1.4476,2.4818,2,1.4613,1,2.0895
3,1,45,45,1.5,1.3065,1.8981,3,1.3014,1,2.7307
3,1,46,46,1.5,1.1757,1.5266,2,1.6384,0,2.0835
3,1,47,47,1.5,1.5936,1.8008,2,1.8915,1,2.3608
3,1,48,48,1.5,0.90959,1.9904,2,1.6709,1,0.89625
3,1,49,49,1.5,0.13066,1.9307,1,1.3382,0,0.95839
3,1,50,50,1.5,0.88238,1.8168,1,1.1913,1,0.78782
3,1,51,51,1.5,1.2364,1.8444,2,1.077,1,1.0408
3,1,52,52,1.5,0.7022,1.7826,2,1.3018,1,2.182
3,1,53,53,1.5,0.65003,1.6949,1,1.3769,0,0.82735
3,1,54,54,1.5,1.1267,1.8265,1,1.4383,1,0.67071
3,1,55,55,1.5,1.1848,1.6556,1,1.7472,1,1.0043
3,1,56,56,1.5,1.1699,1.7322,2,1.8781,1,1.3015
3,1,57,57,1.5,0.92362,1.6378,2,1.695,1,0.93913
3,1,58,58,1.5,5.3487,2.0077,1,1.4986,1,1.002
3,1,59,59,1.5,1.2042,1.9342,2,1.4793,1,2.0416
3,1,60,60,1.5,1.6121,1.9279,3,1.5018,0,1.4679
4,1,1,1,1.5,0.55352,1.3351,3,2.281,0,0.87782
4,1,2,2,1.5,0.49981,1.2943,2,1.7908,1,2.2353
4,1,3,3,1.5,0.64319,1.3394,3,1.5867,0,0.95684
4,1,4,4,1.5,0.73961,0.7753,2,1.1509,0,0.70674
4,1,5,5,1.5,0.71077,1.5297,2,1.1126,0,0.47653
4,1,6,6,1.5,0.56048,0.92958,3,1.0138,1,1.2903
4,1,7,7,1.5,0.38026,1.6548,1,2.9827,1,0.81584
4,1,8,8,1.5,0.6316,1.4544,2,1.7717,0,0.80734
4,1,9,9,1.5,0.34939,1.1939,2,1.1979,1,0.69123
4,1,10,10,1.5,0.60438,1.7984,2,0.701,1,0.71937
4,1,11,11,1.5,0.59125,1.2523,3,1.0062,1,0.64876
4,1,12,12,1.5,0.49968,1.6071,2,0.7106,0,1.0535
4,1,13,13,1.5,2.0155,1.8801,2,1.0117,1,0.91718
4,1,14,14,1.5,0.50614,1.1379,2,1.1595,0,0.78854
4,1,15,15,1.5,0.6233,2.1138,2,0.84797,1,0.81648
4,1,16,16,1.5,0.37844,1.5809,2,0.7516,0,0.6954
4,1,17,17,1.5,0.66152,1.1316,2,0.61484,1,0.64247
4,1,18,18,1.5,0.57227,0.88699,2,0.95969,0,0.53934
4,1,19,19,1.5,0.52048,1.2736,2,0.94875,0,0.70432
4,1,20,20,1.5,0.51246,1.332,2,0.75194,1,0.58297
4,1,21,21,1.5,0.51324,1.7707,3,0.80645,1,0.53724
4,1,22,22,1.5,1.6086,1.4986,3,0.80339,1,0.87114
4,1,23,23,1.5,3.4866,1.9559,3,0.65905,1,0.8402
4,1,24,24,1.5,0.69774,0.99542,2,0.81276,0,0.85267
4,1,25,25,1.5,0.47315,1.7007,2,0.75385,1,0.73591
4,1,26,26,1.5,0.50944,1.8772,2,0.91354,1,0.55246
4,1,27,27,1.5,0.55723,0.90117,3,0.74415,1,0.71311
4,1,28,28,1.5,4.8967,1.3077,2,0.96186,1,0.76266
4,1,29,29,1.5,0.57018,1.7109,2,0.87585,1,0.56438
4,1,30,30,1.5,0.4326,1.906,2,0.84593,1,0.51361
4,1,31,31,1.5,0.62104,1.5732,3,0.82316,1,0.56102
4,1,32,32,1.5,0.55219,1.8213,3,0.80726,0,0.86311
4,1,33,33,1.5,0.8226,2.6378,1,1.792,1,0.88673
4,1,34,34,1.5,0.51103,1.6675,3,0.86714,1,0.81827
4,1,35,35,1.5,0.50125,1.5199,3,0.69435,1,0.54253
4,1,36,36,1.5,0.80019,1.0812,3,0.85223,1,0.43273
