Subj_idx,Block,Trial,RT_stop,Stimulus,Response,Error,Confidence,RT_confidence,ErrorDirectionJudgment,RT_directionJudgment
1,3,1,1.52526077097506,7,4,-3,1,1.33625565200055,-1,0.354647168998781
1,3,2,2.0346485260771,7,5,-2,2,2.4284221300004,-1,2.43287285800034
1,3,3,2.1231746031746,7,6,-1,2,1.81568480699934,-1,0.709975080000731
1,3,4,2.3437641723356,7,7,0,1,1.60014327299905,-1,0.319711285001176
1,3,5,2.10140589569161,7,5,-2,3,1.27864731799855,-1,0.762291082000957
1,3,6,1.85034013605442,7,5,-2,3,2.01605406400085,-1,1.21354681400044
1,3,7,1.6065306122449,7,6,-1,1,2.21616014100073,-1,0.308283086998927
1,3,8,2.30748299319728,7,6,-1,1,1.21607936799955,-1,0.274096580998958
1,3,9,1.73569160997732,7,4,-3,1,2.04581967299964,-1,0.234021410000423
1,3,10,1.84163265306122,7,5,-2,2,3.56188506999933,-1,0.861010368000279
1,3,11,1.73859410430839,7,5,-2,3,2.06161434100068,-1,1.00857423100024
1,3,12,2.56145124716553,7,7,0,1,1.05218923400025,-1,0.217105041998366
1,3,13,2.16816326530612,7,6,-1,1,1.57395531099974,-1,0.269400203998885
1,3,14,2.9750566893424,7,7,0,2,2.9995830379994,-1,1.11442197900033
1,3,15,2.49034013605442,7,7,0,2,1.15458522699919,-1,0.22908089900011
1,3,16,3.59183673469388,7,9,2,1,0.986377831000937,-1,0.202902900999106
1,3,17,2.40181405895692,7,6,-1,2,1.20158388900018,-1,0.753177687998686
1,3,18,2.19718820861678,7,6,-1,3,1.57514272600019,-1,1.39956517100109
1,3,19,1.78068027210884,7,5,-2,2,1.95579782899949,-1,0.466581189000863
1,3,20,1.84163265306122,7,5,-2,2,2.21517969200067,-1,0.66857907099984
1,3,21,2.16090702947846,7,6,-1,2,1.95180009400065,-1,0.358916821000093
1,3,22,2.36843537414966,7,6,-1,2,2.09677875200032,-1,0.219583910999063
1,3,23,2.29006802721088,7,5,-2,3,1.26218678800069,-1,2.61153365399878
1,3,24,1.86195011337868,7,6,-1,1,1.82743149000089,-1,0.112909272998877
1,3,25,2.49759637188209,7,6,-1,2,2.59724669400021,-1,0.296877062000931
1,3,26,1.90984126984127,7,6,-1,1,0.975920038999902,-1,0.106870202000209
1,3,27,2.37714285714286,7,6,-1,2,1.70922578600039,-1,2.10249878200011
1,3,28,2.16380952380952,7,6,-1,1,2.09184110200113,-1,0.0536107719999563
1,3,29,2.47437641723356,7,6,-1,1,2.73944124000082,-1,1.00942113200108
1,3,30,2.73705215419501,7,8,1,1,3.13340958799927,-1,0.675685416999841
1,3,31,1.77922902494331,7,6,-1,2,1.40682124100022,-1,1.01503215499906
1,3,32,2.05641723356009,7,5,-2,3,1.52667381100036,-1,0.321112233999884
1,3,33,2.21895691609977,7,7,0,2,1.5127045270001,-1,0.851755998999579
1,3,34,2.52662131519274,7,7,0,1,2.47974332900048,-1,1.2262010150007
1,3,35,3.37995464852608,7,9,2,1,3.46380702200076,-1,0.727485023000554
1,3,36,1.93596371882086,7,5,-2,1,1.98591348099944,-1,0.255922583999563
1,3,37,2.84734693877551,7,7,0,2,3.65807555699939,-1,0.512792403000276
1,3,38,2.57015873015873,7,7,0,2,5.59827712100014,-1,0.649297247999129
1,3,39,2.49614512471655,7,7,0,1,1.44500200900075,-1,0.899335603000509
1,3,40,2.40181405895692,7,7,0,1,0.942524161999245,-1,0.207844094000393
1,3,41,2.08544217687075,7,5,-2,3,1.1834492880007,-1,0.623694636000437
1,3,42,2.07818594104308,7,6,-1,3,1.34740576999866,-1,0.46108616499987
1,3,43,2.17396825396825,7,6,-1,2,4.89179130100092,-1,1.07674024900007
1,3,44,2.47147392290249,7,6,-1,1,3.66436743899976,-1,0.598553933999938
1,3,45,2.3350566893424,7,6,-1,2,2.03419773899986,-1,0.559705040001063
1,3,46,2.0302947845805,7,6,-1,3,1.14931197100123,-1,1.32897604199934
1,3,47,2.09124716553288,7,6,-1,3,1.74483034599871,-1,2.14577159600049
1,3,48,3.18113378684807,7,8,1,3,1.87024258200108,-1,1.32134865300031
1,3,49,2.52517006802721,7,6,-1,3,1.46297844199944,-1,1.85969509300048
1,3,50,2.48453514739229,7,6,-1,2,3.96133392199954,-1,1.16447098699973
1,3,51,2.2291156462585,7,7,0,1,1.42063233299996,-1,0.346175493999908
1,3,52,2.0259410430839,7,6,-1,1,1.2418723719984,-1,0.263470824000251
1,3,53,2.02013605442177,7,5,-2,2,1.72406992799915,-1,0.238462057999641
1,3,54,2.09124716553288,7,6,-1,2,4.45820954800001,-1,0.327948559999641
1,3,55,2.79945578231293,7,7,0,1,0.768463145999704,-1,0.227663648000089
1,3,56,2.09560090702948,7,5,-2,3,1.64039335499911,-1,0.334155236001607
1,3,57,1.81696145124717,7,5,-2,1,1.99091887800023,-1,0.325320873998862
1,3,58,2.07528344671202,7,6,-1,3,1.26698999900145,-1,0.599124984000809
1,3,59,1.93015873015873,7,5,-2,2,1.4037268739994,-1,0.852875718001087
1,3,60,2.08399092970522,7,6,-1,1,0.811167692001618,-1,0.259818417998758
1,3,61,2.32344671201814,7,6,-1,3,1.16990187200099,-1,0.851057634999961
1,3,62,1.88662131519274,7,5,-2,2,4.87670527199953,-1,0.901742497999294
1,3,63,2.39891156462585,7,6,-1,1,3.8261041730002,-1,1.19332734000091
1,3,64,2.23492063492063,7,6,-1,2,1.53825942399999,-1,0.907670738000888
1,3,65,3.11002267573696,7,8,1,3,3.97946121399946,-1,0.82010611700025
1,3,66,2.59773242630386,7,7,0,3,1.75218267699893,-1,0.512756113999785
1,3,67,2.41922902494331,7,7,0,2,1.71654455499993,-1,0.424306880000586
1,3,68,2.42503401360544,7,6,-1,3,2.7007292369999,-1,1.98198128900003
1,3,69,2.04625850340136,7,6,-1,2,2.62442283200107,-1,0.500225054000111
1,3,70,2.55854875283447,7,6,-1,1,4.60147461999986,-1,1.99350862100073
1,3,71,2.29587301587302,7,6,-1,3,1.16700753700025,-1,1.35275741700025
1,3,72,2.30893424036281,7,7,0,2,2.62532097300027,-1,0.195614371999909
1,3,73,1.97514739229025,7,5,-2,3,1.46893219000049,-1,1.6574880320004
1,3,74,2.57596371882086,7,7,0,2,1.82790368300084,-1,0.184883075000471
1,3,75,2.88943310657596,7,7,0,1,1.03711879200091,-1,0.333114678000129
1,3,76,2.10430839002268,7,5,-2,2,1.74178496600143,-1,0.222745283999757
1,3,77,2.44825396825397,7,6,-1,3,1.66843730999972,-1,0.601040330000615
1,3,78,2.68916099773243,7,7,0,3,1.58085738000045,-1,0.948133756999596
1,3,79,2.90829931972789,7,7,0,1,1.15521689100024,-1,0.556081905999235
1,3,80,1.94467120181406,7,6,-1,3,1.40693150799962,-1,1.71783712200158
1,3,81,2.91990929705215,7,8,1,1,6.41085906199987,-1,1.01041478499974
1,3,82,2.71383219954649,7,7,0,1,2.51975920900077,-1,0.903787674998966
1,3,83,2.76172335600907,7,7,0,1,4.66884902899983,-1,0.952967719000299
1,3,84,3.06793650793651,7,7,0,1,2.70648385700042,-1,1.49011898499884
1,3,85,2.36988662131519,7,7,0,2,2.59663435900075,-1,0.759825573999478
1,3,86,2.75736961451247,7,8,1,1,1.59021549600038,-1,0.221551812999678
1,3,87,2.8821768707483,7,7,0,1,0.731443635000687,-1,0.208310606998566
1,3,88,2.2421768707483,7,6,-1,3,1.0755007079988,-1,0.872301286999573
1,3,89,2.85315192743764,7,7,0,3,0.906274879998819,-1,0.328630267000335
1,3,90,2.14929705215419,7,6,-1,1,1.00797171100021,-1,0.224389560999043
1,3,91,2.40036281179138,7,6,-1,1,1.61856496400105,-1,0.234065684999223
1,3,92,2.24798185941043,7,6,-1,1,2.89076434200069,-1,0.281666098000642
1,3,93,2.0215873015873,7,5,-2,1,1.28770026499842,-1,0.122674631000336
1,3,94,2.70367346938776,7,6,-1,2,1.09983670700058,-1,0.529563960000814
1,3,95,2.79074829931973,7,7,0,2,2.43534427800114,-1,0.686347658998784
1,3,96,2.41197278911565,7,6,-1,3,1.79581202900044,-1,1.28824278599859
1,3,97,2.11156462585034,7,6,-1,3,1.95927387899974,-1,0.759434644000066
1,3,98,2.39455782312925,7,6,-1,3,1.30860545700125,-1,1.03149329799999
1,3,99,2.07963718820862,7,6,-1,2,3.48381266400065,-1,0.874278043998856
1,3,100,3.09696145124717,7,8,1,1,1.22994423800083,-1,0.347571213000265
1,4,1,3.02004535147392,11,8,-3,1,6.43916890999935,-1,0.871153774000049
1,4,2,3.43655328798186,11,9,-2,2,1.14703541899871,-1,1.28381744099897
1,4,3,4.46839002267574,11,12,1,1,4.42092194299948,-1,0.89928265799972
1,4,4,3.99818594104308,11,10,-1,2,2.00325812200026,-1,0.825897998000073
1,4,5,4.39147392290249,11,10,-1,1,1.07599868699981,-1,0.273621934000403
1,4,6,2.81541950113379,11,7,-4,1,1.27354333199946,-1,0.296038055999816
1,4,7,2.80380952380952,11,8,-3,1,2.02765716800059,-1,0.230879831999118
1,4,8,3.17678004535147,11,9,-2,2,4.63061696899968,-1,0.715843265999865
1,4,9,3.7340589569161,11,10,-1,3,1.24141746299938,-1,0.943515744000251
1,4,10,2.57596371882086,11,6,-5,1,1.59947894300058,-1,0.0531059390013979
