Subj_idx,Stimulus,Response,Confidence,RT_dec,Accuracy,nbrA,CA,IA,prmt,mt,Apmt,EMGtrial,force,EMG,Gender,age,RT_conf,Block,Trial
1,1,1.0,1,0.775878906,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,1
1,2,1.0,1,0.509765625,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,2
1,2,2.0,2,0.549804688,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,3
1,1,1.0,2,0.641113281,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,4
1,1,1.0,2,0.503417969,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,5
1,1,1.0,1,0.646484375,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,6
1,1,1.0,1,0.930175781,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,7
1,2,1.0,1,1.070800781,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,8
1,1,1.0,1,0.580078125,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,9
1,2,2.0,2,0.659667969,1.0,1.0,1.0,0.0,548.3398438,111.328125,0.548339844,C,1.170980247,1,F,20,NAN,6,10
1,1,1.0,1,0.556152344,1.0,1.0,1.0,0.0,383.7890625,172.3632813,0.383789063,C,0.920880437,1,F,20,NAN,6,11
1,1,2.0,1,0.902832031,0.0,2.0,1.0,1.0,749.5117188,153.3203125,0.685058594,C I,1.142655252,1,F,20,NAN,6,12
1,1,1.0,1,0.774414063,1.0,1.0,1.0,0.0,632.8125,141.6015625,0.6328125,C,0.949967932,1,F,20,NAN,6,13
1,1,1.0,1,0.782714844,1.0,1.0,1.0,0.0,543.4570313,239.2578125,0.543457031,C,0.883742944,1,F,20,NAN,6,14
1,2,2.0,3,0.491699219,1.0,1.0,1.0,0.0,331.5429688,160.15625,0.331542969,C,1.293067725,1,F,20,NAN,6,15
1,2,2.0,3,0.587402344,1.0,1.0,1.0,0.0,445.8007813,141.6015625,0.445800781,C,1.016742774,1,F,20,NAN,6,16
1,1,1.0,2,0.6328125,1.0,1.0,1.0,0.0,424.3164063,208.4960938,0.424316406,C,0.859355448,1,F,20,NAN,6,17
1,1,1.0,2,1.003417969,1.0,2.0,2.0,0.0,884.765625,118.6523438,0.525390625,C C,1.155155395,1,F,20,NAN,6,18
1,1,1.0,2,1.188964844,1.0,3.0,3.0,0.0,890.625,298.3398438,0.429199219,C C C,1.029017918,1,F,20,NAN,6,19
1,2,2.0,3,0.46484375,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,20
1,1,1.0,2,0.693847656,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,21
1,2,2.0,4,0.418945313,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,22
1,2,2.0,4,0.431640625,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,23
1,1,1.0,1,0.889160156,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,24
1,1,1.0,1,1.107910156,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,25
1,1,1.0,1,0.910644531,1.0,2.0,2.0,0.0,643.5546875,267.0898438,0.360839844,C C,1.063892912,1,F,20,NAN,6,26
