Subj_idx,Stimulus,Response,Confidence,RT_dec,Load,Condition,Accuracy,Task,Block
1,0,1,2,4.09065595600032,3.0,0.5,0,wm,3
1,1,1,2,1.41326315100014,3.0,0.5,1,wm,3
1,0,0,2,0.997365535999961,3.0,0.5,1,wm,3
1,1,1,2,0.797202286999891,3.0,1.0,1,wm,3
1,1,1,3,2.35950978400024,3.0,1.0,1,wm,3
1,1,1,2,1.62595348500008,3.0,1.0,1,wm,3
1,0,0,2,1.39492711599996,3.0,0.5,1,wm,3
1,0,0,2,1.02017077400023,3.0,0.5,1,wm,3
1,0,1,2,1.30424471200013,3.0,1.0,0,wm,3
1,0,1,2,0.892102800999965,3.0,0.5,0,wm,3
1,1,1,3,1.14468633199976,3.0,1.0,1,wm,3
1,1,0,2,1.65043347900018,3.0,1.0,0,wm,3
1,0,0,2,2.26639146700018,3.0,1.0,1,wm,3
1,0,0,2,2.73919300099988,3.0,0.5,1,wm,3
1,1,1,2,1.85916197000051,3.0,1.0,1,wm,3
1,1,0,2,1.2819368129999,3.0,1.0,0,wm,3
1,0,0,2,1.81216257500046,3.0,0.5,1,wm,3
1,0,1,1,1.98488124600044,3.0,0.5,0,wm,3
1,0,1,3,2.54362278300005,3.0,1.0,0,wm,3
1,0,1,3,1.42495879800026,3.0,0.5,0,wm,3
1,0,0,2,1.37034337099976,3.0,1.0,1,wm,3
1,1,1,2,1.5001110320004,3.0,1.0,1,wm,3
1,0,0,2,2.4879435050002,3.0,0.5,1,wm,3
1,0,0,1,1.30861883299985,3.0,0.5,1,wm,3
1,1,1,2,1.03973389000021,3.0,0.5,1,wm,3
1,1,1,3,3.38590811700033,3.0,1.0,1,wm,3
1,0,1,3,0.940308023999933,3.0,0.5,0,wm,3
1,1,0,2,1.08165924100012,3.0,1.0,0,wm,3
1,0,0,2,1.90948729800039,3.0,1.0,1,wm,3
1,0,0,1,1.05159019600023,3.0,0.5,1,wm,3
1,1,1,3,1.3869519560003,3.0,1.0,1,wm,3
1,0,1,2,0.984180478000326,3.0,0.5,0,wm,3
1,1,1,3,1.79270395499998,3.0,0.5,1,wm,3
1,1,1,2,1.30451579200007,3.0,0.5,1,wm,3
1,0,0,3,0.755456248999963,3.0,1.0,1,wm,3
1,0,0,2,2.03100726299999,3.0,1.0,1,wm,3
1,1,1,3,4.31789013200023,3.0,1.0,1,wm,3
1,1,0,2,1.1375995680005,3.0,0.5,0,wm,3
1,0,0,3,1.50091956200004,3.0,1.0,1,wm,3
1,1,0,2,1.2754319440005,3.0,1.0,0,wm,3
1,0,0,3,1.07464893399992,3.0,0.5,1,wm,3
1,1,1,3,1.11787868300053,3.0,1.0,1,wm,3
1,0,0,1,1.32635528600031,3.0,1.0,1,wm,3
1,1,0,2,2.24875851000024,3.0,1.0,0,wm,3
1,1,1,3,1.95352384500029,3.0,1.0,1,wm,3
1,1,1,3,1.08013944300046,3.0,0.5,1,wm,3
1,0,0,2,1.90213333600013,3.0,1.0,1,wm,3
1,1,1,2,2.56839813500028,3.0,0.5,1,wm,3
1,1,1,2,1.18443339800024,3.0,0.5,1,wm,3
1,1,1,2,1.04230909699982,3.0,1.0,1,wm,3
1,0,1,3,0.843439589999889,3.0,0.5,0,wm,3
1,1,0,2,1.0517160280001,3.0,0.5,0,wm,3
1,0,0,2,1.79070195400027,3.0,1.0,1,wm,3
1,0,1,2,1.51043123099998,3.0,0.5,0,wm,3
1,0,0,2,1.32286687600026,3.0,0.5,1,wm,3
1,1,1,3,0.943891264000285,3.0,0.5,1,wm,3
1,0,1,3,0.787764888000311,3.0,0.5,0,wm,3
1,0,0,2,1.49257503999979,3.0,1.0,1,wm,3
1,1,1,3,0.86197358399977,3.0,1.0,1,wm,3
1,0,1,3,2.62493767500018,3.0,1.0,0,wm,3
1,0,1,1,4.09335454800021,1.0,1.0,0,wm,4
1,1,0,3,1.17829595200055,1.0,1.0,0,wm,4
1,1,1,4,0.678221150999889,1.0,0.5,1,wm,4
1,1,1,4,1.25970356700009,1.0,1.0,1,wm,4
1,1,1,2,1.31505839800002,1.0,0.5,1,wm,4
1,0,0,1,1.04569730000003,1.0,0.5,1,wm,4
1,0,0,2,1.03636823600027,1.0,0.5,1,wm,4
1,0,0,2,2.31415663300049,1.0,1.0,1,wm,4
1,0,0,2,1.02288363200023,1.0,0.5,1,wm,4
1,0,0,3,1.36964278600044,1.0,0.5,1,wm,4
1,0,0,1,2.25612243600062,1.0,0.5,1,wm,4
1,0,0,3,1.30886779199955,1.0,0.5,1,wm,4
1,1,0,2,1.3884157650009,1.0,1.0,0,wm,4
1,0,1,3,0.935445280999375,1.0,0.5,0,wm,4
1,1,1,2,0.966857538000113,1.0,1.0,1,wm,4
1,0,0,2,1.49709044799965,1.0,1.0,1,wm,4
1,1,1,3,0.784547678000308,1.0,0.5,1,wm,4
1,0,0,2,0.974778272000549,1.0,0.5,1,wm,4
1,1,1,4,0.890776547000314,1.0,0.5,1,wm,4
1,1,1,3,1.54949878600019,1.0,1.0,1,wm,4
1,1,0,3,1.41592806100016,1.0,0.5,0,wm,4
1,1,0,2,1.38560401699942,1.0,1.0,0,wm,4
1,1,1,4,1.17213963900031,1.0,0.5,1,wm,4
1,0,1,2,0.855780259000312,1.0,0.5,0,wm,4
1,1,1,3,0.824868218999654,1.0,1.0,1,wm,4
1,0,1,2,1.04155159600032,1.0,1.0,0,wm,4
1,1,1,3,0.735987779999959,1.0,0.5,1,wm,4
1,1,1,2,1.16089563400055,1.0,0.5,1,wm,4
1,0,0,2,0.897280182000031,1.0,0.5,1,wm,4
1,1,0,2,1.14055203499993,1.0,1.0,0,wm,4
1,1,0,2,1.16151524500037,1.0,0.5,0,wm,4
