Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Condition,Accuracy,Trial,Block,Sol_letters,Tar_letters,Sol_freq,Tar_freq,Letter_changed
1,1,1.0,2.0,1.236,0.884,1,1.0,18,2,8.0,6.0,896.0,100.0,2.0
1,1,1.0,2.0,2.58,0.817,1,1.0,19,2,8.0,7.0,962.0,408.0,2.0
1,1,1.0,2.0,0.932,1.493,1,1.0,20,2,8.0,6.0,175.0,160.0,2.0
1,2,2.0,2.0,2.651,1.244,1,1.0,21,2,6.0,6.0,422.0,422.0,0.0
1,1,1.0,2.0,2.534,0.856,1,1.0,22,2,8.0,7.0,976.0,283.0,2.0
1,2,NAN,2.0,NAN,0.817,1,NAN,23,2,8.0,8.0,2183.0,2183.0,0.0
1,2,1.0,2.0,1.562,0.864,1,0.0,24,2,9.0,9.0,653.0,653.0,0.0
1,2,2.0,1.0,1.632,2.273,1,1.0,25,2,8.0,8.0,1026.0,1026.0,0.0
1,2,2.0,3.0,1.645,3.003,1,1.0,26,2,7.0,7.0,248.0,248.0,0.0
1,2,2.0,2.0,2.105,0.794,1,1.0,27,2,7.0,7.0,212.0,212.0,0.0
1,2,2.0,2.0,1.411,2.619,1,1.0,28,2,8.0,8.0,328.0,328.0,0.0
1,1,2.0,2.0,1.802,1.22,1,0.0,29,2,9.0,9.0,2212.0,100.0,2.0
1,1,2.0,3.0,1.872,1.329,1,0.0,30,2,9.0,9.0,120.0,1042.0,1.0
1,1,1.0,2.0,1.058,0.551,1,1.0,31,2,8.0,6.0,455.0,457.0,2.0
1,2,2.0,1.0,1.485,1.882,1,1.0,32,2,7.0,7.0,920.0,920.0,0.0
2,2,NAN,1.0,NAN,1.425,1,NAN,18,2,8.0,8.0,328.0,328.0,0.0
2,2,2.0,1.0,0.571,0.577,1,1.0,19,2,7.0,7.0,248.0,248.0,0.0
2,2,2.0,1.0,0.717,0.753,1,1.0,20,2,8.0,8.0,1026.0,1026.0,0.0
2,2,2.0,1.0,0.771,0.651,1,1.0,21,2,8.0,8.0,2183.0,2183.0,0.0
2,1,2.0,1.0,1.465,0.964,1,0.0,22,2,8.0,7.0,976.0,283.0,2.0
2,1,2.0,1.0,1.151,1.328,1,0.0,23,2,9.0,9.0,120.0,1042.0,1.0
2,1,2.0,1.0,1.158,1.734,1,0.0,24,2,9.0,9.0,2212.0,100.0,2.0
2,1,2.0,1.0,0.754,1.484,1,0.0,25,2,8.0,6.0,896.0,100.0,2.0
2,2,2.0,1.0,1.377,1.605,1,1.0,26,2,9.0,9.0,653.0,653.0,0.0
2,2,1.0,1.0,1.851,2.865,1,0.0,27,2,7.0,7.0,212.0,212.0,0.0
2,2,1.0,1.0,1.887,1.063,1,0.0,28,2,7.0,7.0,920.0,920.0,0.0
2,1,1.0,1.0,0.85,1.219,1,1.0,29,2,8.0,6.0,175.0,160.0,2.0
2,1,1.0,1.0,0.92,2.029,1,1.0,30,2,8.0,6.0,455.0,457.0,2.0
2,1,1.0,1.0,0.957,1.877,1,1.0,31,2,8.0,7.0,962.0,408.0,2.0
2,2,1.0,1.0,0.646,1.859,1,0.0,32,2,6.0,6.0,422.0,422.0,0.0
3,1,2.0,3.0,1.05,1.858,1,0.0,18,2,8.0,7.0,962.0,408.0,2.0
3,2,2.0,3.0,0.616,1.306,1,1.0,19,2,7.0,7.0,248.0,248.0,0.0
3,1,1.0,3.0,1.163,1.561,1,1.0,20,2,8.0,7.0,976.0,283.0,2.0
3,2,2.0,3.0,0.718,1.414,1,1.0,21,2,8.0,8.0,1026.0,1026.0,0.0
3,1,2.0,3.0,2.248,1.34,1,0.0,22,2,9.0,9.0,2212.0,100.0,2.0
3,2,2.0,3.0,0.992,1.048,1,1.0,23,2,6.0,6.0,422.0,422.0,0.0
3,2,1.0,3.0,1.068,1.378,1,0.0,24,2,8.0,8.0,2183.0,2183.0,0.0
3,1,NAN,1.0,NAN,0.523,1,NAN,25,2,8.0,6.0,896.0,100.0,2.0
3,2,2.0,3.0,0.543,0.713,1,1.0,26,2,8.0,8.0,328.0,328.0,0.0
3,1,2.0,3.0,0.827,1.974,1,0.0,27,2,8.0,6.0,175.0,160.0,2.0
3,2,2.0,3.0,0.776,1.253,1,1.0,28,2,9.0,9.0,653.0,653.0,0.0
3,2,2.0,3.0,0.538,1.622,1,1.0,29,2,7.0,7.0,212.0,212.0,0.0
3,1,2.0,4.0,1.435,0.241,1,0.0,30,2,9.0,9.0,120.0,1042.0,1.0
3,2,2.0,3.0,0.552,1.487,1,1.0,31,2,7.0,7.0,920.0,920.0,0.0
3,1,2.0,3.0,1.563,0.99,1,0.0,32,2,8.0,6.0,455.0,457.0,2.0
4,1,1.0,2.0,1.003,1.701,1,1.0,18,2,8.0,6.0,175.0,160.0,2.0
4,1,2.0,1.0,0.938,1.575,1,0.0,19,2,8.0,6.0,455.0,457.0,2.0
4,1,2.0,2.0,1.273,1.399,1,0.0,20,2,9.0,9.0,2212.0,100.0,2.0
4,2,2.0,3.0,1.364,2.174,1,1.0,21,2,8.0,8.0,2183.0,2183.0,0.0
4,2,2.0,2.0,0.992,1.607,1,1.0,22,2,6.0,6.0,422.0,422.0,0.0
4,2,2.0,2.0,0.904,1.775,1,1.0,23,2,7.0,7.0,248.0,248.0,0.0
4,2,2.0,2.0,0.696,1.448,1,1.0,24,2,7.0,7.0,920.0,920.0,0.0
4,2,2.0,2.0,1.038,1.43,1,1.0,25,2,9.0,9.0,653.0,653.0,0.0
4,2,2.0,2.0,0.808,1.631,1,1.0,26,2,8.0,8.0,1026.0,1026.0,0.0
4,1,1.0,2.0,1.309,1.48,1,1.0,27,2,9.0,9.0,120.0,1042.0,1.0
4,1,2.0,2.0,1.03,1.272,1,0.0,28,2,8.0,6.0,896.0,100.0,2.0
4,2,2.0,2.0,0.8,1.508,1,1.0,29,2,7.0,7.0,212.0,212.0,0.0
4,1,1.0,2.0,0.77,1.899,1,1.0,30,2,8.0,7.0,976.0,283.0,2.0
4,2,2.0,2.0,0.84,1.592,1,1.0,31,2,8.0,8.0,328.0,328.0,0.0
4,1,1.0,2.0,1.297,1.635,1,1.0,32,2,8.0,7.0,962.0,408.0,2.0
5,1,1.0,3.0,0.653,3.129,1,1.0,18,2,8.0,7.0,976.0,283.0,2.0
5,2,1.0,3.0,1.182,1.962,1,0.0,19,2,8.0,8.0,328.0,328.0,0.0
5,1,2.0,3.0,1.0,1.574,1,0.0,20,2,9.0,9.0,120.0,1042.0,1.0
5,1,1.0,3.0,0.644,1.785,1,1.0,21,2,8.0,6.0,175.0,160.0,2.0
5,2,2.0,3.0,1.556,1.717,1,1.0,22,2,8.0,8.0,1026.0,1026.0,0.0
5,2,2.0,3.0,0.618,1.292,1,1.0,23,2,6.0,6.0,422.0,422.0,0.0
5,2,2.0,3.0,0.47,1.306,1,1.0,24,2,8.0,8.0,2183.0,2183.0,0.0
5,2,1.0,3.0,1.691,1.243,1,0.0,25,2,7.0,7.0,248.0,248.0,0.0
5,1,1.0,2.0,1.122,1.616,1,1.0,26,2,8.0,7.0,962.0,408.0,2.0
5,1,1.0,2.0,0.938,3.072,1,1.0,27,2,8.0,6.0,455.0,457.0,2.0
5,2,1.0,2.0,0.926,1.777,1,0.0,28,2,9.0,9.0,653.0,653.0,0.0
5,1,1.0,2.0,0.993,1.829,1,1.0,29,2,9.0,9.0,2212.0,100.0,2.0
5,1,1.0,3.0,0.835,2.549,1,1.0,30,2,8.0,6.0,896.0,100.0,2.0
5,2,2.0,3.0,1.741,1.743,1,1.0,31,2,7.0,7.0,212.0,212.0,0.0
5,2,2.0,3.0,1.431,2.036,1,1.0,32,2,7.0,7.0,920.0,920.0,0.0
6,1,1.0,2.0,1.347,1.599,1,1.0,18,2,9.0,9.0,120.0,1042.0,1.0
6,2,2.0,3.0,1.23,2.897,1,1.0,19,2,8.0,8.0,1026.0,1026.0,0.0
6,2,1.0,2.0,1.144,1.539,1,0.0,20,2,6.0,6.0,422.0,422.0,0.0
6,2,2.0,2.0,1.421,1.964,1,1.0,21,2,8.0,8.0,2183.0,2183.0,0.0
6,2,1.0,1.0,1.106,1.839,1,0.0,22,2,7.0,7.0,248.0,248.0,0.0
6,2,1.0,2.0,1.142,2.769,1,0.0,23,2,8.0,8.0,328.0,328.0,0.0
6,1,1.0,1.0,2.55,2.152,1,1.0,24,2,8.0,6.0,896.0,100.0,2.0
6,1,1.0,4.0,1.111,2.261,1,1.0,25,2,8.0,7.0,976.0,283.0,2.0
6,2,1.0,2.0,1.232,2.333,1,0.0,26,2,9.0,9.0,653.0,653.0,0.0
6,1,1.0,2.0,1.403,1.625,1,1.0,27,2,8.0,6.0,175.0,160.0,2.0
6,2,1.0,1.0,0.936,1.839,1,0.0,28,2,7.0,7.0,212.0,212.0,0.0
6,1,2.0,4.0,1.96,2.21,1,0.0,29,2,8.0,6.0,455.0,457.0,2.0
6,2,2.0,2.0,1.558,1.294,1,1.0,30,2,7.0,7.0,920.0,920.0,0.0
6,1,1.0,2.0,1.206,1.789,1,1.0,31,2,9.0,9.0,2212.0,100.0,2.0
6,1,1.0,3.0,1.035,2.462,1,1.0,32,2,8.0,7.0,962.0,408.0,2.0
7,2,2.0,4.0,0.846,1.415,1,1.0,18,2,8.0,8.0,2183.0,2183.0,0.0
7,1,1.0,3.0,0.653,1.148,1,1.0,19,2,8.0,7.0,962.0,408.0,2.0
7,1,1.0,4.0,0.373,2.007,1,1.0,20,2,8.0,6.0,175.0,160.0,2.0
7,2,2.0,4.0,2.236,1.647,1,1.0,21,2,7.0,7.0,920.0,920.0,0.0
7,2,NAN,4.0,NAN,1.719,1,NAN,22,2,6.0,6.0,422.0,422.0,0.0
7,2,2.0,4.0,0.293,1.337,1,1.0,23,2,7.0,7.0,248.0,248.0,0.0
7,1,1.0,4.0,1.184,1.689,1,1.0,24,2,8.0,7.0,976.0,283.0,2.0
7,2,2.0,4.0,1.499,1.077,1,1.0,25,2,7.0,7.0,212.0,212.0,0.0
7,1,1.0,4.0,1.233,0.633,1,1.0,26,2,9.0,9.0,2212.0,100.0,2.0
7,2,2.0,4.0,1.31,0.815,1,1.0,27,2,9.0,9.0,653.0,653.0,0.0
7,1,1.0,4.0,0.535,1.164,1,1.0,28,2,9.0,9.0,120.0,1042.0,1.0
7,1,1.0,4.0,0.414,0.675,1,1.0,29,2,8.0,6.0,896.0,100.0,2.0
7,2,2.0,4.0,1.719,2.566,1,1.0,30,2,8.0,8.0,1026.0,1026.0,0.0
7,2,2.0,4.0,0.963,1.217,1,1.0,31,2,8.0,8.0,328.0,328.0,0.0
7,1,1.0,4.0,0.382,0.516,1,1.0,32,2,8.0,6.0,455.0,457.0,2.0
8,1,2.0,1.0,2.371,2.201,1,0.0,18,2,9.0,9.0,120.0,1042.0,1.0
8,1,1.0,1.0,1.497,1.773,1,1.0,19,2,8.0,6.0,896.0,100.0,2.0
8,2,1.0,2.0,2.091,1.575,1,0.0,20,2,9.0,9.0,653.0,653.0,0.0
8,1,1.0,1.0,1.738,1.009,1,1.0,21,2,8.0,6.0,455.0,457.0,2.0
8,1,2.0,1.0,2.108,0.894,1,0.0,22,2,9.0,9.0,2212.0,100.0,2.0
8,2,2.0,2.0,1.268,1.137,1,1.0,23,2,6.0,6.0,422.0,422.0,0.0
8,1,1.0,2.0,1.494,0.988,1,1.0,24,2,8.0,7.0,962.0,408.0,2.0
8,2,2.0,3.0,2.305,1.764,1,1.0,25,2,7.0,7.0,920.0,920.0,0.0
8,2,2.0,2.0,0.987,2.64,1,1.0,26,2,8.0,8.0,1026.0,1026.0,0.0
8,2,2.0,1.0,1.95,0.96,1,1.0,27,2,7.0,7.0,212.0,212.0,0.0
8,1,1.0,4.0,1.002,0.571,1,1.0,28,2,8.0,7.0,976.0,283.0,2.0
8,2,2.0,1.0,1.161,1.471,1,1.0,29,2,7.0,7.0,248.0,248.0,0.0
8,1,1.0,3.0,1.451,0.423,1,1.0,30,2,8.0,6.0,175.0,160.0,2.0
8,2,2.0,1.0,0.934,1.902,1,1.0,31,2,8.0,8.0,2183.0,2183.0,0.0
8,2,2.0,2.0,1.487,0.828,1,1.0,32,2,8.0,8.0,328.0,328.0,0.0
9,2,1.0,2.0,2.052,0.586,1,0.0,18,2,8.0,8.0,2183.0,2183.0,0.0
9,1,2.0,2.0,0.181,0.557,1,0.0,19,2,8.0,6.0,175.0,160.0,2.0
9,2,1.0,1.0,1.19,0.358,1,0.0,20,2,6.0,6.0,422.0,422.0,0.0
9,2,1.0,2.0,2.075,1.321,1,0.0,21,2,9.0,9.0,653.0,653.0,0.0
9,2,2.0,2.0,0.88,0.526,1,1.0,22,2,8.0,8.0,328.0,328.0,0.0
9,1,2.0,2.0,1.11,0.824,1,0.0,23,2,9.0,9.0,120.0,1042.0,1.0
9,1,1.0,2.0,1.326,1.572,1,1.0,24,2,8.0,6.0,455.0,457.0,2.0
9,1,2.0,2.0,2.469,1.61,1,0.0,25,2,9.0,9.0,2212.0,100.0,2.0
9,2,1.0,2.0,1.618,0.662,1,0.0,26,2,7.0,7.0,212.0,212.0,0.0
9,1,1.0,2.0,1.26,1.952,1,1.0,27,2,8.0,7.0,962.0,408.0,2.0
9,2,2.0,2.0,1.146,0.671,1,1.0,28,2,7.0,7.0,248.0,248.0,0.0
9,2,2.0,2.0,0.84,0.591,1,1.0,29,2,8.0,8.0,1026.0,1026.0,0.0
9,1,2.0,2.0,1.108,1.438,1,0.0,30,2,8.0,6.0,896.0,100.0,2.0
9,1,1.0,2.0,0.997,1.594,1,1.0,31,2,8.0,7.0,976.0,283.0,2.0
9,2,2.0,2.0,0.147,1.444,1,1.0,32,2,7.0,7.0,920.0,920.0,0.0
10,1,2.0,2.0,0.73,0.79,1,0.0,18,2,9.0,9.0,2212.0,100.0,2.0
10,1,1.0,1.0,0.851,2.215,1,1.0,19,2,8.0,6.0,175.0,160.0,2.0
10,1,2.0,2.0,0.783,1.146,1,0.0,20,2,9.0,9.0,120.0,1042.0,1.0
10,1,1.0,3.0,0.826,2.091,1,1.0,21,2,8.0,6.0,896.0,100.0,2.0
10,2,2.0,2.0,1.962,1.108,1,1.0,22,2,6.0,6.0,422.0,422.0,0.0
10,2,2.0,2.0,0.392,0.772,1,1.0,23,2,7.0,7.0,248.0,248.0,0.0
10,1,1.0,2.0,1.95,1.411,1,1.0,24,2,8.0,7.0,976.0,283.0,2.0
10,2,2.0,1.0,0.611,1.418,1,1.0,25,2,7.0,7.0,920.0,920.0,0.0
10,2,2.0,2.0,1.341,1.126,1,1.0,26,2,7.0,7.0,212.0,212.0,0.0
10,1,1.0,2.0,1.201,0.93,1,1.0,27,2,8.0,6.0,455.0,457.0,2.0
10,2,1.0,1.0,2.38,0.574,1,0.0,28,2,9.0,9.0,653.0,653.0,0.0
10,2,2.0,1.0,0.87,1.401,1,1.0,29,2,8.0,8.0,1026.0,1026.0,0.0
10,1,2.0,1.0,1.085,0.975,1,0.0,30,2,8.0,7.0,962.0,408.0,2.0
10,2,2.0,1.0,1.309,0.509,1,1.0,31,2,8.0,8.0,328.0,328.0,0.0
10,2,2.0,1.0,0.58,0.95,1,1.0,32,2,8.0,8.0,2183.0,2183.0,0.0
11,1,1.0,1.0,1.006,0.805,1,1.0,18,2,9.0,9.0,2212.0,100.0,2.0
11,1,2.0,1.0,1.518,0.792,1,0.0,19,2,8.0,6.0,455.0,457.0,2.0
11,1,1.0,1.0,1.247,0.928,1,1.0,20,2,9.0,9.0,120.0,1042.0,1.0
11,2,2.0,1.0,1.828,2.189,1,1.0,21,2,8.0,8.0,1026.0,1026.0,0.0
11,1,2.0,1.0,2.256,0.938,1,0.0,22,2,8.0,6.0,896.0,100.0,2.0
11,2,1.0,4.0,2.111,1.049,1,0.0,23,2,8.0,8.0,2183.0,2183.0,0.0
11,2,2.0,4.0,2.454,1.54,1,1.0,24,2,6.0,6.0,422.0,422.0,0.0
11,2,NAN,4.0,NAN,1.532,1,NAN,25,2,7.0,7.0,920.0,920.0,0.0
11,2,2.0,1.0,1.476,1.422,1,1.0,26,2,7.0,7.0,212.0,212.0,0.0
11,1,1.0,1.0,1.164,1.17,1,1.0,27,2,8.0,7.0,962.0,408.0,2.0
11,2,2.0,4.0,2.105,1.176,1,1.0,28,2,7.0,7.0,248.0,248.0,0.0
11,2,2.0,1.0,0.739,1.011,1,1.0,29,2,9.0,9.0,653.0,653.0,0.0
11,2,2.0,1.0,0.779,0.777,1,1.0,30,2,8.0,8.0,328.0,328.0,0.0
11,1,2.0,1.0,0.699,1.777,1,0.0,31,2,8.0,6.0,175.0,160.0,2.0
11,1,1.0,1.0,1.514,0.788,1,1.0,32,2,8.0,7.0,976.0,283.0,2.0
12,2,2.0,2.0,0.842,1.294,1,1.0,18,2,7.0,7.0,248.0,248.0,0.0
12,1,2.0,2.0,0.856,0.64,1,0.0,19,2,8.0,6.0,896.0,100.0,2.0
12,1,NAN,2.0,NAN,0.653,1,NAN,20,2,8.0,7.0,976.0,283.0,2.0
12,2,2.0,2.0,0.689,0.597,1,1.0,21,2,7.0,7.0,212.0,212.0,0.0
12,1,2.0,2.0,0.566,0.654,1,0.0,22,2,9.0,9.0,2212.0,100.0,2.0
12,1,2.0,2.0,0.72,0.615,1,0.0,23,2,8.0,6.0,175.0,160.0,2.0
12,1,2.0,2.0,0.515,0.683,1,0.0,24,2,8.0,6.0,455.0,457.0,2.0
12,1,NAN,2.0,NAN,0.55,1,NAN,25,2,8.0,7.0,962.0,408.0,2.0
12,2,2.0,2.0,2.99,0.578,1,1.0,26,2,6.0,6.0,422.0,422.0,0.0
12,1,2.0,2.0,1.707,0.706,1,0.0,27,2,9.0,9.0,120.0,1042.0,1.0
12,2,NAN,2.0,NAN,1.619,1,NAN,28,2,7.0,7.0,920.0,920.0,0.0
12,2,2.0,2.0,1.292,1.274,1,1.0,29,2,9.0,9.0,653.0,653.0,0.0
12,2,2.0,2.0,0.816,0.628,1,1.0,30,2,8.0,8.0,328.0,328.0,0.0
12,2,2.0,2.0,1.194,0.555,1,1.0,31,2,8.0,8.0,2183.0,2183.0,0.0
12,2,2.0,2.0,1.791,1.862,1,1.0,32,2,8.0,8.0,1026.0,1026.0,0.0
13,2,2.0,4.0,0.772,1.595,1,1.0,18,2,7.0,7.0,920.0,920.0,0.0
13,2,2.0,1.0,2.511,1.446,1,1.0,19,2,8.0,8.0,1026.0,1026.0,0.0
13,2,NAN,1.0,NAN,1.375,1,NAN,20,2,9.0,9.0,653.0,653.0,0.0
