Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Condition,Trial_in_block,Response_key,Corr_resp,Scale_key,Age,Gender,Exp.name,Date,Block
1,1,1.0,4.0,0.601,0.517,nofeedback,0,e,e,0.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,2,1.0,3.0,0.85,0.517,nofeedback,1,e,r,9.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,2,2.0,2.0,1.067,1.35,nofeedback,2,r,r,8.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,1,1.0,4.0,0.917,0.384,nofeedback,3,e,e,0.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,1,1.0,4.0,0.5,0.384,nofeedback,4,e,e,0.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,2,1.0,4.0,0.567,0.334,nofeedback,5,e,r,0.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,1,1.0,4.0,0.551,0.251,nofeedback,6,e,e,0.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,2,1.0,4.0,0.484,0.484,nofeedback,7,e,r,0.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,2,1.0,4.0,0.667,0.334,nofeedback,8,e,r,0.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,1,1.0,4.0,0.551,0.35,nofeedback,9,e,e,0.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,2,1.0,4.0,0.634,0.333,nofeedback,10,e,r,0.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,1,1.0,4.0,0.5,0.251,nofeedback,11,e,e,0.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,1,1.0,4.0,0.484,0.334,nofeedback,12,e,e,0.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,2,1.0,4.0,0.5,0.334,nofeedback,13,e,r,0.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,2,2.0,1.0,0.95,1.001,nofeedback,14,r,r,7.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,1,1.0,4.0,0.734,0.334,nofeedback,15,e,e,0.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,1,1.0,4.0,0.517,0.251,nofeedback,16,e,e,0.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,2,1.0,4.0,0.967,0.284,nofeedback,17,e,r,0.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,2,1.0,4.0,0.651,0.317,nofeedback,18,e,r,0.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,1,1.0,4.0,0.5,0.317,nofeedback,19,e,e,0.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,2,1.0,4.0,0.584,0.3,nofeedback,20,e,r,0.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,1,1.0,4.0,0.567,0.25,nofeedback,21,e,e,0.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,1,1.0,3.0,0.867,0.217,nofeedback,22,e,e,9.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,2,2.0,1.0,1.167,1.167,nofeedback,23,r,r,7.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,1,1.0,4.0,0.667,0.384,nofeedback,24,e,e,0.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,2,1.0,3.0,0.667,0.45,nofeedback,25,e,r,9.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,2,1.0,2.0,0.967,0.4,nofeedback,26,e,r,8.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,1,1.0,2.0,0.551,0.334,nofeedback,27,e,e,8.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,1,1.0,2.0,0.55,0.317,nofeedback,28,e,e,8.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
1,2,1.0,3.0,0.734,0.684,nofeedback,29,e,r,9.0,23,F,GabornFF_PAS,2018_kwi_09_1325,1
