Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Order,Scale,Block
109,1,1,2.0,2.15195,1.29862,3,DS,PAS,1
109,2,2,2.0,0.67216,0.11309,12,DS,PAS,1
109,1,1,1.0,1.77787,0.49875,12,DS,PAS,1
109,1,2,3.0,3.7652,1.09447,7,DS,PAS,1
109,2,2,3.0,0.62839,0.41997,10,DS,PAS,1
109,2,2,4.0,0.59812,0.14564,2,DS,PAS,1
109,1,1,4.0,0.59631,0.89821,8,DS,PAS,1
109,2,2,3.0,0.56191,0.09819,11,DS,PAS,1
109,1,2,3.0,0.59348,0.02184,11,DS,PAS,1
109,1,1,3.0,0.67651,0.10192,4,DS,PAS,1
109,1,2,2.0,2.06405,0.8175,6,DS,PAS,1
109,1,1,2.0,0.67161,0.35168,5,DS,PAS,1
109,2,2,4.0,0.63625,0.11061,4,DS,PAS,1
109,1,1,2.0,0.82378,0.05946,9,DS,PAS,1
109,1,1,4.0,0.46577,0.02891,6,DS,PAS,1
109,1,1,3.0,0.87383,0.19512,5,DS,PAS,1
109,2,2,3.0,0.94685,0.22328,10,DS,PAS,1
109,2,1,4.0,1.51039,2.55962,9,DS,PAS,1
109,2,2,4.0,0.76114,0.06237,2,DS,PAS,1
109,2,2,1.0,1.58187,0.66068,12,DS,PAS,1
109,2,2,2.0,0.70757,0.15481,11,DS,PAS,1
109,1,1,2.0,0.5571,7.03664,2,DS,PAS,1
109,2,2,4.0,0.63178,0.06647,8,DS,PAS,1
109,2,2,4.0,0.70932,0.49675,2,DS,PAS,1
109,2,2,4.0,0.63117,0.02642,10,DS,PAS,1
109,2,2,4.0,0.66751,0.46556,4,DS,PAS,1
109,1,1,2.0,0.6302,0.10583,9,DS,PAS,1
109,1,1,4.0,2.02492,0.0197,5,DS,PAS,1
109,2,2,4.0,0.75683,0.19378,1,DS,PAS,1
109,1,1,2.0,0.94241,0.2366,8,DS,PAS,1
109,2,2,4.0,0.59812,0.10597,2,DS,PAS,1
109,2,2,4.0,0.95783,1.13825,7,DS,PAS,1
109,2,2,4.0,0.71806,0.23669,4,DS,PAS,1
