Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Block,AveStim,Duration,Condition
1,45,37.0,6,3.44418,1.657895,1,39,100,0
1,31,40.0,6,3.12652,1.702565,1,39,2000,1
1,54,48.0,6,2.976495,1.67918,1,39,100,0
1,39,50.0,7,3.859945,1.956155,1,39,2000,1
1,48,46.0,7,3.885885,1.930585,1,39,2000,1
1,32,49.0,6,4.09104,1.70676,1,39,100,0
1,26,35.0,6,2.632685,1.5973,1,39,100,0
1,38,40.0,8,5.664415,2.581635,1,39,2000,1
1,53,62.0,7,3.22492,2.073505,1,39,2000,1
1,50,65.0,8,2.763095,2.57933,1,39,100,0
1,38,45.0,7,3.30732,1.90004,1,39,2000,1
1,42,35.0,6,3.12906,2.39,1,39,100,0
1,29,38.0,8,3.509735,2.392425,1,39,2000,1
1,32,40.0,8,5.96276,2.019035,1,39,100,0
1,25,30.0,7,3.489475,2.19543,1,39,2000,1
1,38,45.0,7,2.68008,1.864975,1,39,100,0
1,52,55.0,7,3.10323,1.816705,1,39,2000,1
1,50,60.0,8,2.17514,2.228005,1,39,100,0
1,49,50.0,7,3.021625,1.924885,1,39,100,0
1,28,40.0,7,2.67126,2.00866,1,39,2000,1
1,49,52.0,8,3.2881,1.91175,1,39,100,0
1,39,40.0,7,2.735165,1.84631,1,39,2000,1
1,29,35.0,7,3.239415,1.75031,1,39,2000,1
1,44,38.0,7,5.23896,1.91382,1,39,100,0
1,47,40.0,7,1.96225,1.82737,1,39,100,0
1,44,45.0,7,3.0753,1.807265,1,39,2000,1
1,41,37.0,7,4.676895,1.929085,1,39,100,0
1,24,20.0,7,5.198425,1.87399,1,39,2000,1
1,33,33.0,7,2.83423,1.74057,1,39,100,0
1,37,42.0,7,3.13585,1.730605,1,39,2000,1
1,27,29.0,7,2.61324,2.15767,1,39,2000,1
1,45,45.0,6,2.19642,1.635335,1,39,100,0
1,54,65.0,7,2.68285,2.35213,1,39,2000,1
1,47,50.0,7,1.993735,1.78316,1,39,100,0
1,50,60.0,8,2.64875,1.84479,1,39,100,0
1,42,48.0,7,3.06493,1.705305,1,39,2000,1
1,48,52.0,6,6.09482,1.589925,1,39,2000,1
1,45,55.0,8,2.121375,2.96647,1,39,100,0
1,26,40.0,6,2.585035,1.697835,1,39,2000,1
1,51,55.0,7,2.285915,2.815095,1,39,100,0
1,43,36.0,8,2.44484,2.20686,2,31,2000,1
1,20,34.0,6,2.398455,2.078915,2,31,100,0
1,33,39.0,7,2.887335,2.883495,2,31,2000,1
1,18,21.0,7,3.613895,1.761615,2,31,100,0
1,22,35.0,6,3.34552,2.327225,2,31,100,0
1,46,44.0,6,1.771775,1.679175,2,31,2000,1
1,22,24.0,6,2.551645,2.0984,2,31,2000,1
1,35,33.0,6,3.03179,1.48595,2,31,100,0
1,22,20.0,6,2.141025,1.77365,2,31,2000,1
1,41,35.0,6,2.702625,1.643905,2,31,100,0
1,28,28.0,6,2.59357,1.44066,2,31,100,0
1,30,30.0,8,3.843345,2.39878,2,31,2000,1
1,43,32.0,7,5.53845,2.08826,2,31,100,0
1,24,28.0,7,2.558975,1.810745,2,31,2000,1
1,32,40.0,7,2.43703,1.803035,2,31,2000,1
1,43,36.0,6,3.917245,1.737875,2,31,100,0
1,26,31.0,6,3.88417,1.53531,2,31,2000,1
1,19,26.0,7,2.936965,1.919045,2,31,100,0
1,45,45.0,7,2.1396,1.405945,2,31,2000,1
1,19,30.0,8,3.104005,1.71485,2,31,100,0
1,40,35.0,6,2.726105,1.46984,2,31,100,0
1,16,28.0,8,2.601525,1.144425,2,31,2000,1
1,23,32.0,7,3.46766,1.22922,2,31,100,0
1,38,38.0,7,3.33592,2.05883,2,31,2000,1
1,19,27.0,8,3.338915,1.352635,2,31,100,0
1,16,12.0,8,3.4057,1.854655,2,31,2000,1
1,20,26.0,6,2.44614,1.529655,2,31,100,0
1,45,48.0,8,2.286525,1.235005,2,31,2000,1
1,36,36.0,6,2.193945,1.20106,2,31,100,0
1,31,34.0,8,2.764075,1.03249,2,31,2000,1
1,31,32.0,7,2.108215,1.331775,2,31,2000,1
1,28,35.0,7,3.14315,1.245495,2,31,100,0
1,27,30.0,8,5.43113,1.091225,2,31,2000,1
1,21,26.0,7,2.64287,1.22809,2,31,100,0
1,30,34.0,8,3.34182,1.06554,2,31,2000,1
1,19,18.0,7,2.486705,1.27826,2,31,100,0
1,32,29.0,7,2.187625,1.284325,2,31,2000,1
1,31,32.0,8,1.94921,0.95314,2,31,100,0
1,32,28.0,6,2.819825,1.361115,2,31,100,0
1,34,36.0,6,2.290275,1.38442,2,31,2000,1
1,56,40.0,7,1.898105,1.831,3,42,100,0
1,27,26.0,7,1.64627,1.249025,3,42,2000,1
1,33,32.0,7,2.417155,1.311935,3,42,2000,1
1,46,34.0,7,2.56647,1.57607,3,42,100,0
1,32,29.0,7,1.98396,1.118925,3,42,100,0
1,53,52.0,7,1.96351,1.219425,3,42,2000,1
1,53,50.0,8,2.77848,1.277095,3,42,2000,1
1,41,39.0,7,1.87964,1.23588,3,42,100,0
1,52,48.0,6,1.657725,1.695805,3,42,2000,1
1,34,38.0,8,2.7513,1.1662,3,42,100,0
1,51,50.0,7,1.92805,1.065695,3,42,2000,1
1,31,44.0,7,1.971515,1.166805,3,42,100,0
1,55,46.0,8,2.708545,1.207145,3,42,100,0
1,56,54.0,7,3.261525,1.349695,3,42,2000,1
1,53,50.0,7,1.96637,1.069795,3,42,2000,1
1,56,38.0,7,3.116655,1.44412,3,42,100,0
1,40,40.0,7,3.25818,1.26847,3,42,100,0
1,51,32.0,7,4.0212,1.86883,3,42,2000,1
1,36,31.0,7,4.298305,1.262425,3,42,2000,1
1,46,36.0,6,3.21757,1.278565,3,42,100,0
1,48,40.0,7,1.770655,1.209845,3,42,100,0
1,31,28.0,7,1.90625,1.218265,3,42,2000,1
1,39,30.0,7,1.754675,1.0913,3,42,2000,1
1,28,29.0,7,2.259,1.17381,3,42,100,0
1,52,37.0,6,2.19045,1.23203,3,42,100,0
1,40,41.0,8,2.15171,1.705555,3,42,2000,1
1,52,36.0,7,1.943245,1.08854,3,42,100,0
