Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,difficulty,Task,Condition,Block,Accuracy
1,1,1.0,4.0,2.389919596,1.450966381,0.12,perception,1,1,1
1,2,1.0,2.0,2.560766946,1.467898127,0.721719566,perception,1,1,0
1,1,1.0,3.0,2.774725125,2.652070596,0.197430461,perception,1,1,1
1,2,2.0,2.0,3.585507547,1.184100304,0.197430461,perception,1,1,1
1,1,1.0,2.0,3.786452679,0.734024275,0.197430461,perception,1,1,1
1,2,NAN,NAN,NAN,NAN,0.708604613,perception,1,1,0
1,2,2.0,3.0,4.015708796,1.651210073,0.233552041,perception,1,1,1
1,1,1.0,2.0,3.802485093,2.201739584,0.233552041,perception,1,1,1
1,2,2.0,3.0,2.451522209,0.784057455,0.233552041,perception,1,1,1
1,1,1.0,3.0,2.058870941,0.43381365,0.694871572,perception,1,1,1
1,2,1.0,1.0,3.792708871,1.801477034,0.694871572,perception,1,1,0
1,2,2.0,3.0,4.190408776,2.55201033,0.233552041,perception,1,1,1
1,2,1.0,3.0,4.16020387,1.867978181,0.233552041,perception,1,1,0
1,2,2.0,4.0,1.680675692,0.400457235,0.05,perception,1,1,1
1,1,1.0,4.0,1.415860053,0.367097612,0.05,perception,1,1,1
1,1,1.0,4.0,0.741427724,0.50055214,0.05,perception,1,1,1
1,1,NAN,NAN,NAN,NAN,0.603974086,perception,1,1,0
1,1,1.0,4.0,1.260164067,0.333497441,0.05,perception,1,1,1
1,1,1.0,4.0,0.97079289,0.416876131,0.05,perception,1,1,1
1,1,1.0,4.0,0.768735461,0.483846189,0.05,perception,1,1,1
1,1,1.0,4.0,4.574930137,0.433555461,0.585309959,perception,1,1,1
1,1,1.0,1.0,4.25000874,0.550565434,0.585309959,perception,1,1,1
1,1,1.0,2.0,4.006779947,0.934172389,0.585309959,perception,1,1,1
1,1,2.0,1.0,4.910893363,1.234478271,0.75,perception,1,1,0
1,1,2.0,1.0,4.805415619,0.950626886,0.427283087,perception,1,1,0
1,1,1.0,4.0,1.0175777,0.400320603,0.05,perception,1,1,1
1,1,1.0,4.0,0.68373034,1.117402227,0.05,perception,1,1,1
1,1,1.0,4.0,0.822622552,0.550402181,0.05,perception,1,1,1
1,1,2.0,4.0,1.187082147,0.367103065,0.56576622,perception,1,1,0
1,2,2.0,4.0,1.188646355,0.383593163,0.05,perception,1,1,1
1,2,2.0,4.0,1.024377211,0.283694226,0.05,perception,1,1,1
1,1,1.0,4.0,0.680037115,0.367099858,0.05,perception,1,1,1
1,2,2.0,2.0,3.639234914,1.26776637,0.545301412,perception,1,1,1
1,2,1.0,2.0,3.956979939,0.533872954,0.545301412,perception,1,1,0
1,1,1.0,4.0,2.255993914,0.416889602,0.05,perception,1,1,1
1,1,1.0,4.0,0.739017105,0.500356493,0.05,perception,1,1,1
1,1,1.0,4.0,4.52680499,1.484605361,0.05,perception,1,1,1
1,1,1.0,2.0,4.025383347,0.466912197,0.523872128,perception,1,1,1
1,1,NAN,NAN,NAN,NAN,0.523872128,perception,1,1,0
1,1,1.0,4.0,0.789012759,1.117636041,0.05,perception,1,1,1
1,1,1.0,4.0,0.990109597,0.383592522,0.05,perception,1,1,1
1,2,2.0,4.0,0.949693236,0.400471989,0.05,perception,1,1,1
1,2,1.0,2.0,3.81725158,0.500528405,0.501432913,perception,1,1,0
1,2,2.0,4.0,1.580109312,0.40046397,0.05,perception,1,1,1
1,1,1.0,4.0,1.434152985,0.533699759,0.05,perception,1,1,1
1,2,2.0,4.0,0.88977222,0.416948296,0.05,perception,1,1,1
1,2,NAN,NAN,NAN,NAN,0.489819793,perception,1,1,0
1,1,1.0,4.0,0.970824643,0.734036142,0.05,perception,1,1,1
1,1,1.0,4.0,0.910746788,1.034073251,0.05,perception,1,1,1
1,1,1.0,4.0,0.785270141,0.933976742,0.05,perception,1,1,1
1,1,1.0,1.0,3.834477437,0.617273454,0.47793617,perception,1,1,1
1,2,2.0,2.0,4.211549484,0.800736785,0.47793617,perception,1,1,1
1,2,2.0,2.0,3.91280332,0.600594123,0.47793617,perception,1,1,1
1,1,2.0,2.0,1.744541708,0.367098895,0.713104587,perception,1,1,0
1,1,2.0,2.0,3.760852518,2.335178075,0.47793617,perception,1,1,0
1,1,1.0,4.0,1.2592843,0.433885815,0.05,perception,1,1,1
1,1,1.0,4.0,1.408313237,1.184147131,0.05,perception,1,1,1
