Subj_idx,Stimulus,Response,Confidence,RT_decConf,Coherence,Condition,Accuracy,Block,Date
1,0,0.0,0.176948,1.626965,0.128,1.0,1.0,12,20150430
1,0,1.0,1.0,1.285612,0.0,1.0,0.0,12,20150430
1,0,0.0,0.336288,1.021372,0.0,1.0,1.0,12,20150430
1,1,0.0,1.0,0.594705,0.032,1.0,0.0,12,20150430
1,1,1.0,1.0,0.594673,0.128,1.0,1.0,12,20150430
1,0,0.0,0.175998,0.754686,0.0,0.0,1.0,12,20150430
1,0,0.0,1.0,0.714725,0.512,1.0,1.0,12,20150430
1,0,0.0,0.494106,1.847978,0.128,0.0,1.0,12,20150430
1,1,1.0,1.0,0.568001,0.128,0.0,1.0,12,20150430
1,1,1.0,1.0,0.728066,0.064,1.0,1.0,12,20150430
1,1,1.0,1.0,0.461295,0.512,0.0,1.0,12,20150430
1,0,1.0,0.268407,0.661515,0.128,1.0,0.0,12,20150430
1,0,0.0,0.091194,0.861349,0.032,0.0,1.0,12,20150430
1,0,0.0,0.255857,0.647949,0.064,0.0,1.0,12,20150430
1,0,0.0,1.0,0.421322,0.512,0.0,1.0,12,20150430
1,0,0.0,1.0,0.434683,0.512,0.0,1.0,12,20150430
1,1,1.0,1.0,0.567882,0.064,1.0,1.0,12,20150430
1,1,1.0,0.950447,0.301353,0.256,0.0,1.0,12,20150430
1,0,0.0,1.0,0.713397,0.0,0.0,1.0,12,20150430
1,0,1.0,1.0,0.648058,0.064,1.0,0.0,12,20150430
1,0,0.0,0.23304,0.594432,0.064,0.0,1.0,12,20150430
1,0,1.0,0.088723,1.20778,0.032,0.0,0.0,12,20150430
1,1,1.0,1.0,0.341234,0.128,0.0,1.0,12,20150430
1,1,1.0,1.0,0.394607,0.512,0.0,1.0,12,20150430
1,0,0.0,1.0,0.354725,0.512,1.0,1.0,12,20150430
1,0,0.0,1.0,0.381609,0.256,0.0,1.0,12,20150430
1,0,1.0,0.153751,0.648032,0.064,1.0,0.0,12,20150430
1,1,0.0,0.139871,0.754772,0.0,1.0,0.0,12,20150430
1,0,0.0,1.0,0.38159,0.256,0.0,1.0,12,20150430
1,1,1.0,1.0,0.568137,0.0,1.0,1.0,12,20150430
1,1,1.0,0.143674,0.701402,0.256,1.0,1.0,12,20150430
1,1,1.0,1.0,0.381347,0.512,0.0,1.0,12,20150430
1,1,1.0,0.113821,0.621403,0.128,1.0,1.0,12,20150430
1,1,1.0,0.074082,0.541349,0.064,0.0,1.0,12,20150430
1,1,1.0,1.0,0.367988,0.512,1.0,1.0,12,20150430
1,0,1.0,0.329823,0.541328,0.032,1.0,0.0,12,20150430
1,1,1.0,1.0,0.688037,0.256,0.0,1.0,12,20150430
1,1,1.0,0.09899,0.741424,0.0,1.0,1.0,12,20150430
1,0,0.0,0.150138,1.021361,0.0,0.0,1.0,12,20150430
1,1,1.0,0.309668,0.621402,0.128,0.0,1.0,12,20150430
1,1,1.0,0.571493,0.56811,0.064,1.0,1.0,12,20150430
1,1,0.0,0.394281,1.381509,0.032,1.0,0.0,12,20150430
1,1,1.0,0.516162,0.674802,0.256,0.0,1.0,12,20150430
1,0,0.0,0.421661,0.821358,0.128,1.0,1.0,12,20150430
1,1,1.0,0.753269,0.701069,0.064,0.0,1.0,12,20150430
1,1,1.0,0.035863,1.167895,0.032,1.0,1.0,12,20150430
1,0,1.0,0.03225,0.674849,0.0,0.0,0.0,12,20150430
1,0,0.0,1.0,0.515355,0.512,0.0,1.0,12,20150430
1,1,1.0,0.174287,1.314661,0.032,0.0,1.0,12,20150430
1,1,1.0,0.84739,0.901372,0.0,1.0,1.0,12,20150430
1,1,1.0,1.0,0.887061,0.128,1.0,1.0,12,20150430
1,0,1.0,0.167632,0.608118,0.032,0.0,0.0,12,20150430
1,0,0.0,0.2589,0.621275,0.256,1.0,1.0,12,20150430
1,1,1.0,0.157554,1.674618,0.064,0.0,1.0,12,20150430
1,0,1.0,0.690713,0.648015,0.0,1.0,0.0,12,20150430
1,1,0.0,0.170864,0.594802,0.0,0.0,0.0,12,20150430
1,1,1.0,1.0,0.353158,0.512,1.0,1.0,12,20150430
1,1,1.0,0.244449,1.808199,0.032,0.0,1.0,12,20150430
1,1,1.0,0.530233,0.808069,0.032,1.0,1.0,12,20150430
1,1,1.0,0.908425,0.554723,0.064,1.0,1.0,12,20150430
1,0,1.0,0.251865,0.714546,0.128,1.0,0.0,12,20150430
1,1,0.0,1.0,0.82152,0.032,0.0,0.0,12,20150430
1,0,1.0,0.665804,0.821305,0.032,0.0,0.0,12,20150430
1,0,1.0,0.15204,0.754548,0.064,0.0,0.0,12,20150430
1,0,1.0,1.0,0.474899,0.0,1.0,0.0,12,20150430
1,0,0.0,0.234942,0.861432,0.256,1.0,1.0,12,20150430
1,1,1.0,1.0,0.447915,0.512,0.0,1.0,12,20150430
1,1,0.0,0.251865,0.688252,0.256,1.0,0.0,12,20150430
1,1,1.0,0.127892,1.38133,0.032,0.0,1.0,12,20150430
1,0,0.0,1.0,0.461393,0.256,0.0,1.0,12,20150430
1,1,1.0,1.0,0.421442,0.512,1.0,1.0,12,20150430
1,0,0.0,1.0,0.528099,0.032,1.0,1.0,12,20150430
1,0,0.0,1.0,0.368049,0.032,1.0,1.0,12,20150430
1,1,1.0,0.418809,0.501802,0.256,1.0,1.0,12,20150430
1,0,1.0,0.833699,0.60805,0.064,1.0,0.0,12,20150430
1,1,1.0,1.0,0.768,0.064,0.0,1.0,12,20150430
1,0,0.0,1.0,0.47472,0.128,0.0,1.0,12,20150430
1,1,1.0,1.0,1.154585,0.256,0.0,1.0,12,20150430
1,1,0.0,0.714861,0.581381,0.256,1.0,0.0,12,20150430
1,1,1.0,0.338759,0.514213,0.128,0.0,1.0,12,20150430
1,0,0.0,1.0,0.421346,0.512,0.0,1.0,12,20150430
1,0,0.0,0.572064,0.607412,0.128,0.0,1.0,12,20150430
1,1,1.0,0.391619,0.486905,0.0,0.0,1.0,12,20150430
1,0,0.0,0.758783,0.727774,0.256,1.0,1.0,12,20150430
1,0,0.0,1.0,0.5416,0.032,1.0,1.0,12,20150430
1,0,1.0,0.959954,0.488066,0.064,1.0,0.0,12,20150430
1,0,1.0,0.230188,0.728,0.064,0.0,0.0,12,20150430
1,1,1.0,0.443148,0.594745,0.0,0.0,1.0,12,20150430
1,1,1.0,0.471669,1.654935,0.0,0.0,1.0,12,20150430
1,1,1.0,1.0,0.434645,0.512,1.0,1.0,12,20150430
1,0,0.0,1.0,0.421527,0.512,1.0,1.0,12,20150430
1,1,1.0,1.0,0.66147,0.128,1.0,1.0,12,20150430
1,0,0.0,0.175047,0.714829,0.256,1.0,1.0,12,20150430
1,0,0.0,1.0,0.714562,0.128,0.0,1.0,12,20150430
1,0,0.0,1.0,0.409302,0.256,0.0,1.0,12,20150430
1,0,0.0,1.0,0.341966,0.512,1.0,1.0,12,20150430
1,0,1.0,0.577768,1.81335,0.032,1.0,0.0,13,20150519
1,1,0.0,0.601156,1.261269,0.128,1.0,0.0,13,20150519
1,1,1.0,0.998553,0.688366,0.064,1.0,1.0,13,20150519
1,1,1.0,1.0,0.474327,0.512,1.0,1.0,13,20150519
1,1,1.0,1.0,0.368278,0.512,1.0,1.0,13,20150519
1,0,0.0,1.0,0.688139,0.512,1.0,1.0,13,20150519
1,0,1.0,0.021032,1.234834,0.0,1.0,0.0,13,20150519
1,0,0.0,1.0,0.634721,0.256,0.0,1.0,13,20150519
1,1,1.0,0.177139,1.022097,0.032,0.0,1.0,13,20150519
1,0,0.0,0.234181,0.954799,0.032,0.0,1.0,13,20150519
1,1,1.0,1.0,0.541611,0.512,0.0,1.0,13,20150519
1,0,0.0,1.0,0.781381,0.064,1.0,1.0,13,20150519
1,0,0.0,1.0,0.474751,0.128,1.0,1.0,13,20150519
1,0,0.0,0.976686,0.768154,0.128,1.0,1.0,13,20150519
1,0,0.0,0.996081,0.568014,0.512,0.0,1.0,13,20150519
1,1,0.0,0.160216,0.688121,0.064,0.0,0.0,13,20150519
1,0,0.0,0.989806,0.661616,0.256,0.0,1.0,13,20150519
1,0,0.0,1.0,0.674831,0.064,0.0,1.0,13,20150519
1,0,0.0,0.988095,0.648593,0.512,1.0,1.0,13,20150519
1,0,0.0,1.0,0.514814,0.128,0.0,1.0,13,20150519
1,1,0.0,0.988095,0.768156,0.064,0.0,0.0,13,20150519
1,0,1.0,0.29921,0.741487,0.0,1.0,0.0,13,20150519
1,0,0.0,1.0,0.59473,0.512,1.0,1.0,13,20150519
1,0,0.0,1.0,0.528212,0.512,0.0,1.0,13,20150519
1,1,1.0,0.9822,0.394956,0.512,0.0,1.0,13,20150519
1,0,0.0,1.0,0.581245,0.064,1.0,1.0,13,20150519
1,0,1.0,0.172956,0.994903,0.0,1.0,0.0,13,20150519
1,1,0.0,0.171625,0.768075,0.0,0.0,0.0,13,20150519
1,1,0.0,1.0,0.621494,0.032,1.0,0.0,13,20150519
1,1,1.0,0.242357,0.675015,0.128,1.0,1.0,13,20150519
1,0,0.0,0.746234,0.847983,0.256,1.0,1.0,13,20150519
1,1,1.0,0.552289,0.608347,0.256,0.0,1.0,13,20150519
1,0,0.0,1.0,0.501557,0.512,0.0,1.0,13,20150519
1,0,0.0,0.998743,0.541682,0.128,0.0,1.0,13,20150519
1,1,1.0,0.481366,0.621335,0.256,1.0,1.0,13,20150519
1,0,0.0,1.0,0.58152,0.064,0.0,1.0,13,20150519
1,1,1.0,0.701361,0.661497,0.256,0.0,1.0,13,20150519
1,1,1.0,0.253956,0.648286,0.032,0.0,1.0,13,20150519
1,1,1.0,1.0,0.501653,0.512,1.0,1.0,13,20150519
1,0,0.0,1.0,0.368136,0.032,1.0,1.0,13,20150519
1,1,0.0,0.193301,0.621488,0.0,1.0,0.0,13,20150519
1,0,0.0,0.998553,0.474929,0.512,0.0,1.0,13,20150519
1,1,1.0,1.0,0.474682,0.256,0.0,1.0,13,20150519
1,1,1.0,1.0,0.394713,0.256,1.0,1.0,13,20150519
1,0,1.0,0.116673,0.674899,0.064,1.0,0.0,13,20150519
1,1,1.0,1.0,0.461326,0.512,0.0,1.0,13,20150519
1,1,1.0,0.0718,0.688103,0.064,1.0,1.0,13,20150519
1,1,1.0,1.0,0.541431,0.256,0.0,1.0,13,20150519
1,0,0.0,1.0,0.688085,0.256,0.0,1.0,13,20150519
1,1,0.0,0.0,1.128164,0.128,0.0,0.0,13,20150519
1,0,1.0,0.055638,1.247925,0.0,0.0,0.0,13,20150519
1,1,1.0,0.070469,0.874818,0.128,0.0,1.0,13,20150519
1,1,0.0,0.047462,0.901406,0.064,0.0,0.0,13,20150519
1,0,0.0,1.0,0.554809,0.128,0.0,1.0,13,20150519
1,1,1.0,1.0,0.448278,0.512,1.0,1.0,13,20150519
